test	run1	run2	run3	verdict	cause
DragTouchInAndOutAWindowTest.multiTouch_dragPointInandOutAwindow(TestTouchDevice)[4]	SKIP	SKIP	SKIP	skipped	
DragTouchInAndOutAWindowTest.multiTouch_dragPointInandOutAwindow(TestTouchDevice)[5]	PASS	PASS	PASS	stable-pass	
DragTouchInAndOutAWindowTest.multiTouch_dragPointInandOutAwindow(TestTouchDevice)[6]	PASS	PASS	PASS	stable-pass	
DragTouchInAndOutAWindowTest.multiTouch_dragPointInandOutAwindow(TestTouchDevice)[7]	PASS	PASS	PASS	stable-pass	
DragTouchInAndOutAWindowTest.multiTouch_dragPointInandOutAwindow(TestTouchDevice)[8]	PASS	PASS	PASS	stable-pass	
DragTouchInAndOutAWindowTest.multiTouch_dragPointInandOutAwindow(TestTouchDevice)[9]	PASS	PASS	PASS	stable-pass	
DragTouchInAndOutAWindowTest.multiTouch_dragTwoPointsIntoTheWindow(TestTouchDevice)	SKIP	SKIP	SKIP	skipped	
DragTouchInAndOutAWindowTest.singleTouch_dragPointInandOutAwindow(TestTouchDevice)[10]	PASS	PASS	PASS	stable-pass	
DragTouchInAndOutAWindowTest.singleTouch_dragPointInandOutAwindow(TestTouchDevice)[11]	PASS	ERROR	ERROR	flaky	com.sun.glass.ui.monocle.TestLogShim$TestLogAssertion: Timed out after 3000ms waiting for 'TouchPoint: MOVED'
DragTouchInAndOutAWindowTest.singleTouch_dragPointInandOutAwindow(TestTouchDevice)[12]	PASS	PASS	PASS	stable-pass	
DragTouchInAndOutAWindowTest.singleTouch_dragPointInandOutAwindow(TestTouchDevice)[13]	PASS	PASS	PASS	stable-pass	
DragTouchInAndOutAWindowTest.singleTouch_dragPointInandOutAwindow(TestTouchDevice)[14]	PASS	PASS	PASS	stable-pass	
DragTouchInAndOutAWindowTest.singleTouch_dragPointInandOutAwindow(TestTouchDevice)[15]	PASS	PASS	PASS	stable-pass	
DragTouchInAndOutAWindowTest.singleTouch_dragPointInandOutAwindow(TestTouchDevice)[1]	PASS	PASS	PASS	stable-pass	
DragTouchInAndOutAWindowTest.singleTouch_dragPointInandOutAwindow(TestTouchDevice)[2]	PASS	PASS	PASS	stable-pass	
DragTouchInAndOutAWindowTest.singleTouch_dragPointInandOutAwindow(TestTouchDevice)[3]	PASS	PASS	PASS	stable-pass	
DragTouchInAndOutAWindowTest.singleTouch_dragPointInandOutAwindow(TestTouchDevice)[4]	PASS	PASS	PASS	stable-pass	
DragTouchInAndOutAWindowTest.singleTouch_dragPointInandOutAwindow(TestTouchDevice)[5]	PASS	PASS	PASS	stable-pass	
DragTouchInAndOutAWindowTest.singleTouch_dragPointInandOutAwindow(TestTouchDevice)[6]	PASS	PASS	PASS	stable-pass	
DragTouchInAndOutAWindowTest.singleTouch_dragPointInandOutAwindow(TestTouchDevice)[7]	PASS	PASS	PASS	stable-pass	
DragTouchInAndOutAWindowTest.singleTouch_dragPointInandOutAwindow(TestTouchDevice)[8]	PASS	PASS	PASS	stable-pass	
DragTouchInAndOutAWindowTest.singleTouch_dragPointInandOutAwindow(TestTouchDevice)[9]	PASS	PASS	PASS	stable-pass	
DragTouchInAndOutAWindowTest.singleTouch_dragPointIntoTheWindow(TestTouchDevice)[10]	PASS	PASS	PASS	stable-pass	
DragTouchInAndOutAWindowTest.singleTouch_dragPointIntoTheWindow(TestTouchDevice)[11]	PASS	PASS	PASS	stable-pass	
DragTouchInAndOutAWindowTest.singleTouch_dragPointIntoTheWindow(TestTouchDevice)[12]	PASS	PASS	PASS	stable-pass	
DragTouchInAndOutAWindowTest.singleTouch_dragPointIntoTheWindow(TestTouchDevice)[13]	PASS	PASS	PASS	stable-pass	
